song_id,title,artist,version,song_type
556,%X (Percent X),Pory,XX,arcade
785,* this game does not exist *,litmus* x Ester,phoenix,arcade
813,1948,SLAM,phoenix,arcade
593,1949,SLAM,XX,arcade
293,1950,SLAM,Prime,arcade
88,2006 LOVE SONG,Banya Production,NX,arcade
830,4NT,PODA,phoenix,arcade
572,86,Dasu,XX,arcade
588,86,Dasu,XX,fullsong
536,A Site De La Rue,STREME REVERIE,Prime2,arcade
827,ALiVE,REDALiCE,phoenix,arcade
218,ASDF,Doin,FiestaEX,arcade
826,About The Universe,SOTUI & MIssionary,phoenix,arcade
249,Accident,MAX,Fiesta2,arcade
329,Achuoias,D_AAN,Prime,arcade
720,Acquire,rhyki,phoenix,arcade
644,Adrenaline Blaster,QWertism,XX,arcade
630,After a thousand years,TOTO,XX,arcade
703,Airplane,TYPHOON,phoenix,arcade
841,Alice in Misanthrope,LeaF,phoenix,arcade
28,All I Want For X-max,BanYa,PerfectCollection,arcade
200,Allegro Con Fuoco,DM Ashura,FiestaEX,arcade
596,Allegro Con Fuoco - FULL SONG -,DM Ashura,XX,fullsong
480,Allegro Furioso,DM Ashura,Prime2,arcade
295,Allegro Piu Mosso,DM Ashura,Prime,arcade
722,Altale,sakuzyo,phoenix,arcade
340,Amai Yuuwaku Dangerous,Bakusute Sotokanda Icchome,Prime,arcade
285,Amphitryon,Gentle Stick,Prime,arcade
545,An Interesting View,BanYa,3rd,arcade
512,Anguished Unmaking,void,Prime2,arcade
296,Annihilator Method,DM Ashura,Prime,arcade
4,Another Truth,Novasonic,1st,arcade
777,Appassionata,Cashew x D_AAN x Jehezukiel,phoenix,arcade
733,Aragami,xi,phoenix,arcade
391,Arcana Force,mzet:-P,Prime2,arcade
86,Arch of Darkness,YAHPP,NX,arcade
150,Arirang,Banya Production,Fiesta,arcade
405,Asterious -ReEntry-,ATAS,Prime2,arcade
772,Athena's Shield,Jehezukiel,phoenix,arcade
277,Avalanche,Memme,Prime,arcade
366,Avalanquiem,MAX & MEMME,Prime,remix
531,Awakening,typeMARS,Prime2,arcade
158,B.P Classic Remix,Banya Production,Fiesta,remix
160,B.P Classic Remix 2,Banya Production,Fiesta,remix
281,B2,MAX,Prime,arcade
726,BATTLE NO.1,TANO*C Sound Team,phoenix,arcade
495,BEDLAM,SANY-ON,Prime2,arcade
96,BEMERA,YAHPP,NX,remix
707,BOOOOM!!,RiraN,phoenix,arcade
668,BRAIN POWER,NOMA,XX,arcade
541,BSPower Explosion,Memme,Prime2,arcade
346,Bad Apple!! feat. Nomico,Masayoshi Minoshima,Prime,arcade
374,Bad Apple!! feat. Nomico,Masayoshi Minoshima,Prime,fullsong
548,BanYa-P Classic Mix,BanYa Production,NX,remix
73,Banya Classic Remix,BanYa,Exceed2,remix
74,Banya Hiphop Remix,BanYa,Exceed2,remix
112,Banya-P Guitar Remix,Banya Production,NX2,remix
732,Barber's Madness,Klass E,phoenix,arcade
242,Baroque Virus,Zircon,Fiesta2,arcade
666,Baroque Virus - FULL SONG -,Zirccon,XX,fullsong
100,Beat The Ghost,Banya Production,NX2,arcade
57,Beat of The War,BanYa,Premiere3,arcade
76,Beat of The War 2,BanYa,Zero,arcade
98,Beat of The War 2 Full Song,YAHPP,NX,fullsong
825,Becouse of You,Srav3R & USAO,phoenix,arcade
54,Bee,BanYa,Premiere3,arcade
365,Beethoven Influenza,Banya & Warak,Prime,remix
29,Beethoven Virus,BanYa,PerfectCollection,arcade
183,Bemera,YAHPP,Fiesta,shortcut
22,Betrayer,BanYa,3rdSE,arcade
143,Betrayer -act.2-,msgoon,Fiesta,arcade
765,Big Daddy,USAO,phoenix,arcade
840,Binary star,SYNTHWULF,phoenix,arcade
535,Black Dragon,Memme,Prime2,arcade
574,Black Swan,zeron,XX,arcade
114,Blaze Emotion,YAHPP,NXA,arcade
292,Blaze Emotion(Band version),YAHPP,Prime,arcade
62,Blazing,BanYa,Exceed,arcade
744,Bluish Rose,WyvernP,phoenix,arcade
362,Break It Down,MAZO,Prime,arcade
538,Break Out,Lunatic Sounds,Prime2,arcade
799,Break Through Myself feat. Risa Yuzuki,DJ Myosuke & Laur,phoenix,arcade
389,Bring Back The Beat,Lunatic Sounds,Prime2,arcade
654,Broken Karma(PIU Edit),Quree,XX,arcade
692,Brown Sky,Doin,XX,remix
91,Bullfighter's Song,Banya Production,NX,arcade
816,Burn Out,WyvernP,phoenix,arcade
194,Butterfly,MAX & Rorychesell(SID-SOUND),FiestaEX,arcade
616,CARMEN BUS,StaticSphere & FUGU SUISAN,XX,arcade
715,CHAOS AGAIN,NAOKI underground -Ω-,phoenix,arcade
175,CHICKEN WING,Banya,Fiesta,shortcut
717,CO5M1C R4ILR0AD,kanone,phoenix,arcade
688,CROSS RAY (feat. 月下Lia),HyuN,XX,arcade
619,CROSS SOUL,HyuN feat. Syepias,XX,arcade
302,Campanella,Cashew,Prime,arcade
546,Can Can,Radetzky,Extra,arcade
598,Can-can ~Orpheus in The Party Mix~,Sr. Lan Belmont,XX,arcade
115,Cannon X.1,YAHPP,NXA,arcade
71,Canon D,BanYa,Exceed2,arcade
75,Canon D FULL Song MIX,BanYa,Exceed2,fullsong
128,Caprice of DJ Otada,Banya Production,NXA,remix
101,Caprice of Otada,Banya Production,NX2,arcade
809,Catastrophe,rareguy & MonstDeath,phoenix,arcade
470,Chase Me,Dreamcatcher,Prime2,arcade
504,Chase Me,Dreamcatcher,Prime2,fullsong
31,Chicken Wing,BanYa,Extra,arcade
87,Chimera,YAHPP,NX,arcade
276,Chinese restaurant,Memme,Prime,arcade
775,Chobit Flavor,aran & t+pazolite,phoenix,arcade
116,Chopsticks Challenge,YAHPP,NXA,arcade
135,Chopsticks Challenge,YAHPP,NXA,fullsong
404,Christmas Memories,Warak,Prime2,arcade
190,Cleaner,Doin,FiestaEX,arcade
212,Cleaner,Doin,FiestaEX,shortcut
661,Clematis Rapsodia,Jehezukiel,XX,arcade
14,Close Your Eye,BanYa,3rd,arcade
571,Club Night,Matduke,XX,arcade
466,Clue,Transin,Prime2,arcade
58,Come to Me,BanYa,Prex3,arcade
603,Conflict,Siromaru + Cranky,XX,arcade
323,Cosmical Rhythm,SID-SOUND,Prime,arcade
807,Crimson hood,Springhead,phoenix,arcade
533,Cross Over,HyuN,Prime2,arcade
508,Cross Time,Brandy,Prime2,arcade
673,Crossing Delta,t+pazolite+Ginkiha+Hommarju,XX,arcade
53,Csikos Post,BanYa,Rebirth,arcade
738,Curiosity Overdrive,t+pazolite,phoenix,arcade
655,Cutie Song,Memme,XX,arcade
639,Cycling!,Yamajet,XX,arcade
689,Cygnus,nato,XX,arcade
250,D,MAX,Fiesta2,arcade
55,D Gang,BanYa,Premiere3,arcade
660,DESTRUCTIMATE,KURORAK,XX,arcade
802,DISTRICT V,Zekk vs MAX,phoenix,remix
121,DJ Otada,Banya Production,NXA,arcade
786,DUEL,Cashew & D_AAN,phoenix,arcade
838,DUEL - SHORT CUT -,Cashew & D_AAN,phoenix,shortcut
51,Dance wth me,BanYa,Rebirth,arcade
779,Dancing,Said,phoenix,arcade
645,Danger & Danger,Cranky,XX,arcade
804,Darkside Of The Mind,DJ Myosuke,phoenix,arcade
839,Dead End,Cosmograph,phoenix,arcade
403,Death Moon,SHK,Prime2,arcade
410,Death Moon,SHK,Prime2,shortcut
815,Deca Dance,Yooh,phoenix,arcade
577,Dement ~After Legend~,Lunatic Sounds,XX,arcade
833,Demon of Laplace,Quree,phoenix,arcade
578,Desaparecer,Applesoda vs MAX,XX,remix
145,Destination,SHK,Fiesta,arcade
185,Destination,SHK,Fiesta,shortcut
756,Destr0yer,sakuzyo,phoenix,arcade
613,Dignity,Crash,Exceed,arcade
614,Dignity -FULL SONG-,Crash,Exceed,fullsong
643,District 1,MAX,XX,arcade
148,Do It Reggae Style,Banya Production,Fiesta,arcade
89,Do U Know That-Old School,Banya Production,NX,arcade
324,Dolly KiSS,SID-SOUND,Prime,arcade
525,Donatello,Triplestar,Prime2,arcade
792,Doppelganger,MonstDeath,phoenix,arcade
129,Dr. KOA,Banya Production,NXA,remix
34,Dr. M,BanYa,Rebirth,arcade
238,Dream To Nightmare,Nightmare,Fiesta2,arcade
647,Dual Racing <RED vs BLUE>,Nato & r300k,XX,arcade
796,E.O.N,HiTECH NINJA,phoenix,arcade
800,EMOMOMO,Ras,phoenix,arcade
667,ERRORCODE: 0,DOIN && SUNNY,XX,remix
542,ESCAPE,D_AAN,Prime2,arcade
805,ESP,nato,phoenix,arcade
33,EXTRA BanYa Remix,BanYa,Extra,remix
771,Earendel,Palami feat.neur6sia,phoenix,arcade
243,Elise,DM Ashura,Fiesta2,arcade
273,Elysium,Warak,Prime,arcade
35,Emperor,BanYa,Rebirth,arcade
718,Energy Synergy Matrix,Tanchiky,phoenix,arcade
824,Eternal Universe,Quree,phoenix,arcade
712,Etude Op 10-4,MAX,phoenix,arcade
708,Euphorianic,SHK,phoenix,arcade
730,Euphorianic -SHORT CUT-,SHK,phoenix,shortcut
208,Everybody Got 2 Know,MAX,FiestaEX,remix
180,Exceed2 Opening,Banya,Fiesta,shortcut
6,Extravaganza,BanYa,2nd,arcade
